name,image_url,rating_star,ratings,reviews,processor,ram,operating_system,rom,display,warranty,actual_price,discount_price,discount
Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-K...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/l/v/-original-imahcd9jggredwvf.jpeg?q=70,4.5,"9,456 Ratings",820 Reviews,Intel Core i5 Processor (13th Gen),8 GB LPDDR4X RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories,"₹78,189","₹48,990",37% off
DELL Inspiron 7430 Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 7430 2in1...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/z/g/inspiron-7430-2in1-laptop-dell-original-imahfruhzaec8yxf.jpeg?q=70,4.7,7 Ratings,0 Reviews,Intel Core i5 Processor (13th Gen),8 GB LPDDR5 RAM,Windows 11 Operating System,512 GB SSD,"Windows 11, Microsoft Office",12 Months,"₹1,01,350","₹71,990",28% off
ASUS Vivobook Intel Core i7 12th Gen 12700H - (16 GB/512 GB SSD/Windows 11 Home) X1605ZAC-MB741WS Lapt...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/a/g/-original-imagz6nyp2egtkz7.jpeg?q=70,4.4,46 Ratings,3 Reviews,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,40.64 cm (16 Inch) Display,1 Year Onsite Warranty,"₹85,990","₹66,990",22% off
ASUS Vivobook 15 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) X1504VA-NJ2325WS Th...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/j/z/-original-imahcd9nqjz6d3dp.jpeg?q=70,4.2,650 Ratings,53 Reviews,Intel Core i3 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Home Operating System,512 GB SSD,Microsoft Office Home 2024 + Microsoft 365 Basic,1 Year Onsite Warranty,"₹56,990","₹35,990",36% off
Samsung Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/o/y/6/-original-imahcd9h9ethbxaz.jpeg?q=70,4.5,"4,960 Ratings",529 Reviews,Intel Core i3 Processor (13th Gen),8 GB LPDDR4X RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"₹57,499","₹34,990",39% off
HP 14s Backlit Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) 14s-dq2649tu Thin and...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/o/w/e/-original-imahcd9ng6zhznpn.jpeg?q=70,4.3,276 Ratings,20 Reviews,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Display,1 Year Onsite Warranty,"₹50,554","₹37,600",25% off
ASUS Zenbook 14 OLED AI PC Intel Core Ultra 5 125H - (16 GB/1 TB SSD/Windows 11 Home) UX3405MA-PZ552WS...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/i/3/-original-imahcd9mbemg6bg5.jpeg?q=70,4.6,38 Ratings,2 Reviews,Intel Core Ultra 5 Processor,16 GB LPDDR5X RAM,Windows 11 Operating System,1 TB SSD,35.56 cm (14 Inch) Touchscreen Display,1 Year Onsite Warranty,"₹1,22,990","₹89,990",26% off
"ASUS Vivobook 16 (2025) with Office 2024 + M365 Basic, AI PC Intel Core Ultra 5 - (16 GB/512 GB SSD/Wi...",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/l/t/h/-original-imah9d7pgrdmv858.jpeg?q=70,4.8,8 Ratings,1 Reviews,Intel Core Ultra 5 Processor,16 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,Microsoft Office Home 2024 + Microsoft 365 Basic,1 Year Onsite warranty,"₹92,990","₹68,990",25% off
"ASUS Vivobook 16X For Creator, Intel H Series Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Window...",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/t/h/i/-original-imahcd9rje8qh37q.jpeg?q=70,4.2,672 Ratings,52 Reviews,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,40.64 cm (16 Inch) Display,1 Year Onsite Warranty,"₹98,999","₹62,990",36% off
Lenovo IdeaPad Slim 3 Next Gen AI PC WUXGA IPS Copilot + PC Qualcomm Snapdragon X - (16 GB/512 GB SSD/...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/8/j/c/-original-imahehrb5fvx8uuq.jpeg?q=70,,,,Qualcomm Snapdragon X Processor,16 GB LPDDR5X RAM,Windows 11 Home Operating System,512 GB SSD,Office Home 2024,1 Year Onsite Warranty,"₹93,490","₹57,990",37% off
Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/p/i/0/-original-imahcfdf4x4zchpg.jpeg?q=70,4.3,402 Ratings,32 Reviews,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Display,1 Year Carry-in Warranty,"₹66,999","₹40,990",38% off
WINGS Nuvobook S1 Aluminium Alloy Metal Body Intel Intel Core i3 11th Gen 1125G4 - (8 GB/256 GB SSD/Wi...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/8/9/h/-original-imagtq43ngggg9gj.jpeg?q=70,4.1,"1,075 Ratings",163 Reviews,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,256 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,,"₹49,999",
Lenovo IdeaPad Flex 5 AMD AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 14ALC7 2 in...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/z/u/f/-original-imahyyhzpfngghez.jpeg?q=70,4.5,2 Ratings,1 Reviews,AMD Ryzen 5 Hexa Core Processor,16 GB LPDDR4X RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Touchscreen Display,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidental Damage Protection,"₹92,000","₹68,999",25% off
"ASUS Vivobook S14 (2025) with Office 2024 + M365 Basic*, Metallic Design, Copilot+ PC Qualcomm Snapdra...",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/g/d/-original-imahefyfyqwuhhga.jpeg?q=70,4.7,10 Ratings,0 Reviews,Qualcomm Snapdragon X Processor,16 GB LPDDR5X RAM,Windows 11 Home Operating System,512 GB SSD,"Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year",1 Year Onsite Warranty,"₹92,990","₹67,990",26% off
Acer Aspire 3 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/f/x/-original-imahcd99qffuxkmz.jpeg?q=70,4.3,"2,000 Ratings",159 Reviews,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Display,1 Year Carry-in Warranty,"₹49,999","₹28,990",42% off
HP 255 G9 AMD Ryzen 3 Dual Core R3 3250 - (8 GB/512 GB SSD/Windows 11 Home) 255 G8 Thin and Light Lapt...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/8/o/5/-original-imahcd9hg4t8b7v4.jpeg?q=70,4.1,"1,523 Ratings",109 Reviews,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite warranty by OEM,"₹37,188","₹28,990",22% off
Samsung Galaxy Book2 Pro EVO AMOLED Intel Core i7 12th Gen 1260P - (16 GB/512 GB SSD/Windows 11 Home) ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/h/y/v/-original-imahfu5zxefpuamw.jpeg?q=70,4.7,23 Ratings,1 Reviews,Intel Core i7 Processor (12th Gen),16 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,33.78 cm (13.3 Inch) Display,1 Year Onsite Warranty,"₹1,11,498","₹88,990",20% off
HP 15s AMD Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 11 Home) 15s-GY0501AU Thin and Light Lap...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/h/4/c/-original-imahcd9nkugbw3u7.jpeg?q=70,4.3,"4,144 Ratings",410 Reviews,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,Office Home and Student 2019 included,1 Year Onsite Warranty,"₹41,999","₹34,990",16% off
Acer Aspire 5 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA Ge...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/q/u/e/-original-imagvkpfzm2gwahc.jpeg?q=70,4.3,189 Ratings,19 Reviews,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Display,1 Year Onsite Warranty,"₹89,990","₹54,990",38% off
MOTOROLA Motobook 60 Full Metal OLED (i5 14th Gen) Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Wi...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/q/l/-original-imahcyacqqquv9g4.jpeg?q=70,4.3,242 Ratings,37 Reviews,Intel Core 5 (Series 2) Processor,16 GB DDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD,Office Home 2024,1 Year Onsite Warranty,"₹93,690","₹54,990",41% off
HP Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home) 15-fr0025TU Thin and Light Lapto...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/t/u/-original-imahdxrfymmfsjnv.jpeg?q=70,4.2,16 Ratings,1 Reviews,Intel Core i7 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Home Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"₹77,507","₹65,990",14% off
HP Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) 15-hr0001TU Thin and Light Laptop,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/7/r/-original-imahcd9hgzynffj3.jpeg?q=70,4.2,64 Ratings,5 Reviews,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"₹84,399","₹65,228",22% off
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 8845HS - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVI...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/t/r/q/-original-imahcd9nrgzpynhy.jpeg?q=70,4.9,8 Ratings,3 Reviews,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite warranty,"₹1,43,990","₹1,15,990",19% off
Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/u/a/-original-imahcd9hd8sfkypj.jpeg?q=70,4.2,"3,614 Ratings",279 Reviews,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Display,1 Year Domestic Warranty,"₹43,000","₹24,990",41% off
Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-K...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/l/v/-original-imahcd9jggredwvf.jpeg?q=70,4.5,"9,456 Ratings",820 Reviews,Intel Core i5 Processor (13th Gen),8 GB LPDDR4X RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories,"₹78,189","₹48,990",37% off
"HP 255 G10 AMD Ryzen 3 Octa Core 13th Gen AMD Ryzen™ 3 7320U (up to 4.1 GHz, 4 cores, 8 threads) - (8 ...",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/g/w/y/255-g10-business-laptop-hp-original-imah7z9hgmfsghqh.jpeg?q=70,3.8,160 Ratings,17 Reviews,AMD Ryzen 3 Octa Core Processor (13th Gen),8 GB LPDDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 YEAR BRAND WARRANTY,"₹41,999","₹30,990",26% off
Acer Swift Go 14 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) SFG14-41 Thin and Li...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/p/i/d/-original-imahcd9pvkwxyh8w.jpeg?q=70,4,6 Ratings,1 Reviews,AMD Ryzen 5 Hexa Core Processor,16 GB LPDDR4X RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Display,1 Year International Travelers Warranty (ITW),,"₹83,999",
ASUS Vivobook Go 14 (2025) with Office 2024 + M365 Basic* AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/n/3/-original-imah2y2teghzh7xe.jpeg?q=70,4.2,"1,191 Ratings",81 Reviews,AMD Ryzen 5 Quad Core Processor,16 GB LPDDR5 RAM,Windows 11 Home Operating System,512 GB SSD,"Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee 1 year",1 Year Onsite Warranty,"₹52,990","₹39,990",24% off
HP Victus AMD Ryzen 7 Octa Core 6800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,https://rukminim2.flixcart.com/image/312/312/l4oi4cw0/computer/l/t/q/16-e1062ax-gaming-laptop-hp-original-imagfgqgzbrzchfq.jpeg?q=70,4.3,6 Ratings,1 Reviews,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD,40.89 cm (16.1 Inch) Display,1 Year Onsite Warranty,"₹1,11,490","₹78,990",29% off
ASUS Vivobook 15 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) X1504VA-NJ2325WS Th...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/j/z/-original-imahcd9nqjz6d3dp.jpeg?q=70,4.2,650 Ratings,53 Reviews,Intel Core i3 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Home Operating System,512 GB SSD,Microsoft Office Home 2024 + Microsoft 365 Basic,1 Year Onsite Warranty,"₹56,990","₹35,990",36% off
Samsung Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/o/y/6/-original-imahcd9h9ethbxaz.jpeg?q=70,4.5,"4,960 Ratings",529 Reviews,Intel Core i3 Processor (13th Gen),8 GB LPDDR4X RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"₹57,499","₹34,990",39% off
Lenovo IdeaPad 1 AMD Ryzen 5 Quad Core 3500U - (8 GB/512 GB SSD/Windows 11 Home) 15ADA7 Thin and Light...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/l/b/e/-original-imahcd9mhfktnx5z.jpeg?q=70,4.2,831 Ratings,85 Reviews,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,2 Years Onsite�Warranty,"₹58,990","₹39,990",32% off
HP Touch Chromebook MediaTek MT8183 - (4 GB/32 GB EMMC Storage/Chrome OS) 11MK G9 Chromebook,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/a/e/11mk-g9-chromebook-hp-original-imah3behyxsb4auh.jpeg?q=70,3.4,"1,116 Ratings",87 Reviews,MediaTek MT8183 Processor,4 GB LPDDR4X RAM,Chrome Operating System,29.46 cm (11.6 Inch) Touchscreen Display,29.46 cm (11.6 Inch) Touchscreen Display,1 Year Carry-in Warranty,"₹34,554","₹22,599",34% off
Lenovo IdeaPad Slim 3 Next Gen AI PC WUXGA IPS Copilot + PC Qualcomm Snapdragon X - (16 GB/512 GB SSD/...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/8/j/c/-original-imahehrb5fvx8uuq.jpeg?q=70,,,,Qualcomm Snapdragon X Processor,16 GB LPDDR5X RAM,Windows 11 Home Operating System,512 GB SSD,Office Home 2024,1 Year Onsite Warranty,"₹93,490","₹57,990",37% off
Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/p/i/0/-original-imahcfdf4x4zchpg.jpeg?q=70,4.3,402 Ratings,32 Reviews,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Display,1 Year Carry-in Warranty,"₹66,999","₹40,990",38% off
HP 14s Intel Pentium Quad Core N6000 - (8 GB/256 GB SSD/Windows 11 Home) 14s-dq3033tu Thin and Light L...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/g/q/-original-imahcd9ngvhhqqk8.jpeg?q=70,4,541 Ratings,58 Reviews,Intel Pentium Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,"Microsoft Office Home & Student 2019, HP Documentation",1 Year Onsite Warranty,"₹38,999","₹30,990",20% off
HP Laptop with Backlit Keyboard Intel Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) 15s-fq2510...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/7/x/r/15s-fq2510-thin-and-light-laptop-hp-original-imaguhyegg4qrmrc.jpeg?q=70,4.3,93 Ratings,4 Reviews,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,"₹61,948","₹52,900",14% off
ASUS Vivobook 16X (2025) Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphi...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/s/c/k3605zf-mb541ws-thin-and-light-laptop-asus-original-imagztg4fbyvrtcj.jpeg?q=70,,,,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Home Operating System,512 GB SSD,1 Month Trial for New Microsoft 365 Customers. Credit Card Required,1 Year Onsite Warranty,"₹88,990","₹66,074",25% off
Acer Aspire 3 (2025) Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home) Aspire 3 A325-5...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/8/e/a325-53-thin-and-light-laptop-acer-original-imahcguhhvqhvegg.jpeg?q=70,4,4 Ratings,0 Reviews,Intel Core i3 Processor (13th Gen),16 GB DDR4 RAM,64 bit Windows 11 Home Operating System,512 GB SSD,"Microsoft Office 2021, Windows 11 Home",3 Years Onsite Warranty,"₹78,990","₹35,990",54% off
